NAME,SSN,LANGUAGE,JOB,HEIGHT_M,WEIGHT_KG,fev_pct,dyspnea_description,distance_in_meters,hospital
Jacob Williams,452-66-0598,Belarusian,Surveyor minerals,1.78,89.14,76.32,STOPS AFTER A FEW MINUTES,63.78,SAINT LOUIS UNIVERSITY
Jennifer Blair,688-78-8789,Lithuanian,Quantity surveyor,1.67,114.36,79.61,WHEN HURRYING,171.25,ST.MARY'S
Neil Thompson,212-96-3307,Romanian,Arts development officer,1.75,87.99,31.95,WALKING UPHILL,16.16,BJC
Victoria Humphrey,862-60-3079,Lao,Soil scientist,1.5,117.02,69.1,BREATHLESS WHEN DRESSING,77.96,SAINT LOUIS UNIVERSITY
Justin Rubio,892-09-0563,Irish,Retail merchandiser,1.58,117.2,34.29,STOPS AFTER A FEW MINUTES,111.21,ST.LUKE'S
Frank Robertson,360-59-1428,Twi,Associate Professor,1.53,108.38,82.84,BREATHLESS WHEN DRESSING,217.68,BJC
James Ford,220-19-4725,Serbian,Engineer civil (contracting),1.69,83.52,41.24,SLOWER THAN PEERS,382.12,ST.MARY'S
Leah Reeves,636-83-7922,Galician,Barrister,1.74,109.94,76.16,STOPS AFTER 100 YARDS,19.15,BJC
Dawn Nichols,795-26-9287,Bambara,Production assistant television,1.5,101.73,97.4,STOPS WHEN WALKING AT PACE,202.65,BJC
Amanda Nelson,180-83-4395,South Ndebele,Financial trader,1.65,99.42,58.39,STOPS WHEN WALKING AT PACE,226.36,ST.LUKE'S
Ebony Chandler MD,292-12-6342,Vietnamese,Mechanical engineer,1.56,94.69,77.08,STOPS WHEN WALKING AT PACE,200.15,ST.MARY'S
Anthony Lopez,011-56-4586,Swati,Holiday representative,1.59,98.99,27.81,WALKING UPHILL,381.01,BJC
Daniel Jefferson,863-13-3646,Ojibwa,Medical technical officer,1.7,85.39,96.91,STOPS AFTER 100 YARDS,81.32,BJC
Ryan Miller,707-64-8824,Ukrainian,Secretary company,1.6,114.32,25.83,SLOWER THAN PEERS,315.9,ST.LUKE'S
Jessica Munoz,866-76-4239,Inuktitut,Scientist research (life sciences),1.51,109.85,97.75,BREATHLESS WHEN DRESSING,361.13,ST.MARY'S
Stacey White,156-25-8314,Belarusian,Teacher early years/pre,1.68,80.09,86.3,WHEN HURRYING,222.58,BJC
Daniel Allen,392-35-7106,Ido,Teaching laboratory technician,1.58,85.86,99.47,STOPS WHEN WALKING AT PACE,350.06,SAINT LOUIS UNIVERSITY
Robert Barnes,310-62-0905,Corsican,Water quality scientist,1.59,107.0,95.9,WHEN HURRYING,135.08,ST.LUKE'S
Thomas Bender,877-73-0311,Tamil,Toxicologist,1.59,90.85,72.34,ONLY STRENUOUS EXERCISE,113.34,SAINT LOUIS UNIVERSITY
Ian Fletcher,096-17-6524,Hebrew,Science writer,1.58,98.66,33.32,WHEN HURRYING,323.34,MISSOURI BAPTIST
Terri Lynch,105-93-4579,Aragonese,Advertising account planner,1.79,108.75,38.88,BREATHLESS WHEN DRESSING,106.12,ST.LUKE'S
Kimberly Acosta,646-10-8074,Somali,Investment analyst,1.76,88.82,40.7,STOPS WHEN WALKING AT PACE,262.41,ST.MARY'S
Dawn Hughes,155-39-2913,Zulu,Best boy,1.67,83.09,99.94,WHEN HURRYING,91.31,ST.LUKE'S
Ryan Mcdaniel,797-39-9325,Kashmiri,Designer graphic,1.68,78.3,86.36,SLOWER THAN PEERS,221.74,ST.MARY'S
Ebony Flores,528-64-2001,Ojibwa,Surveyor building,1.58,105.76,74.52,BREATHLESS WHEN DRESSING,114.58,ST.MARY'S
Julia Simpson,815-52-3214,Fulah,Lecturer higher education,1.7,117.05,69.21,WALKING UPHILL,102.57,ST.MARY'S
Joshua Garcia,099-51-2499,Tonga,Science writer,1.64,111.96,62.29,ONLY STRENUOUS EXERCISE,230.98,SAINT LOUIS UNIVERSITY
Stephanie Walker,032-21-9139,Basque,Architect,1.67,82.33,42.73,STOPS AFTER A FEW MINUTES,166.93,ST.LUKE'S
Adrian Rose,509-16-5142,Sindhi,Environmental health practitioner,1.76,98.17,74.55,WHEN HURRYING,68.36,BJC
Evan Jones,564-76-7582,Swedish,Claims inspector/assessor,1.58,109.43,94.77,SLOWER THAN PEERS,218.12,ST.MARY'S
Andrew Benton,006-48-9647,Maltese,Scientist research (maths),1.79,103.26,27.53,STOPS AFTER A FEW MINUTES,188.42,BJC WEST COUNTY
Shawn White,359-62-1423,French,Conservator museum/gallery,1.53,90.15,90.87,WHEN HURRYING,328.45,ST.LUKE'S
Kevin Hill,244-89-5970,Slovak,Garment/textile technologist,1.52,100.45,94.98,UNABLE TO LEAVE HOME,97.07,BJC WEST COUNTY
Kimberly Osborn,215-26-0311,English,Musician,1.57,101.51,37.16,STOPS WHEN WALKING AT PACE,305.28,ST.MARY'S
Laura Scott,458-29-7509,Northern Sami,Broadcast journalist,1.54,102.67,79.16,ONLY STRENUOUS EXERCISE,271.85,ST.LUKE'S
Patricia Murphy,744-88-1187,Avestan,Fast food restaurant manager,1.61,86.97,60.62,WALKING UPHILL,382.99,BJC
Christopher Brown,886-97-9566,Slovak,Engineer mining,1.77,112.44,30.32,WHEN HURRYING,10.89,SAINT LOUIS UNIVERSITY
Willie Hernandez,550-98-4434,Komi,Environmental consultant,1.6,80.28,78.08,BREATHLESS WHEN DRESSING,70.3,BJC
William May,879-33-8713,Chinese,Conservation officer nature,1.64,87.96,56.13,ONLY STRENUOUS EXERCISE,191.74,BJC
Jesus Stewart,105-15-1263,Oromo,Best boy,1.57,111.0,82.54,STOPS AFTER 100 YARDS,44.09,MISSOURI BAPTIST
Wendy Cox,893-58-5680,Yoruba,Social researcher,1.55,98.48,74.52,STOPS AFTER A FEW MINUTES,61.6,BJC WEST COUNTY
Ethan Ortiz,623-52-3739,Northern Sami,Medical illustrator,1.75,109.97,65.16,SLOWER THAN PEERS,214.09,ST.LUKE'S
Crystal Wilson,851-69-4932,Czech,Chief Financial Officer,1.51,98.99,92.91,STOPS AFTER 100 YARDS,6.98,MISSOURI BAPTIST
Kenneth Clark,699-54-5371,Maori,Dancer,1.61,88.57,26.39,STOPS WHEN WALKING AT PACE,376.85,BJC WEST COUNTY
Melissa Johnson,687-55-8216,Abkhazian,Lexicographer,1.59,88.51,80.29,BREATHLESS WHEN DRESSING,37.85,ST.LUKE'S
Dr. Lauren Cunningham,724-96-1786,Swahili,Psychologist sport and exercise,1.74,111.84,73.59,WHEN HURRYING,190.7,MISSOURI BAPTIST
Gabriel Fowler,329-14-8439,Chinese,Government social research officer,1.74,91.74,65.59,WHEN HURRYING,101.86,MISSOURI BAPTIST
Michael Carson,817-68-3112,Korean,Ceramics designer,1.52,87.6,45.53,WHEN HURRYING,87.25,SAINT LOUIS UNIVERSITY
Michael Baker,375-12-5616,Uighur,Consulting civil engineer,1.51,112.94,75.12,WHEN HURRYING,175.1,SAINT LOUIS UNIVERSITY
Michelle Velez,024-22-5777,Occitan,Sound technician broadcasting/film/video,1.68,97.82,98.71,WALKING UPHILL,102.32,BJC
Michael Bennett,027-86-9819,Icelandic,Systems analyst,1.62,101.86,88.82,STOPS AFTER 100 YARDS,200.48,SAINT LOUIS UNIVERSITY
Rebecca Dickerson,787-37-3612,Malayalam,IT consultant,1.79,93.4,51.78,BREATHLESS WHEN DRESSING,194.77,ST.MARY'S
Carla Mills,020-97-9550,Finnish,Museum/gallery curator,1.6,79.04,33.55,STOPS AFTER 100 YARDS,212.26,MISSOURI BAPTIST
Catherine Lynch,371-19-4073,Chinese,Corporate investment banker,1.67,100.02,46.39,UNABLE TO LEAVE HOME,46.41,SAINT LOUIS UNIVERSITY
Erin Parrish,884-64-7739,Danish,Radiographer therapeutic,1.56,98.95,42.34,WHEN HURRYING,352.78,BJC
Sheila Bell,592-70-3044,Pali,Ergonomist,1.6,79.88,28.83,WHEN HURRYING,128.3,ST.LUKE'S
Scott Bartlett,586-10-1118,Polish,Scientist research (physical sciences),1.54,98.33,80.18,STOPS AFTER A FEW MINUTES,107.08,BJC
Jason Stewart II,516-01-1731,Tswana,Programmer applications,1.5,91.07,70.43,STOPS AFTER A FEW MINUTES,371.06,SAINT LOUIS UNIVERSITY
Zachary Durham,230-71-2508,Pushto,Administrator,1.51,108.88,57.41,UNABLE TO LEAVE HOME,335.37,SAINT LOUIS UNIVERSITY
Jonathan Bell,394-69-8682,Venda,Holiday representative,1.75,113.34,33.08,UNABLE TO LEAVE HOME,20.78,BJC
Paul Welch,158-56-9321,Avaric,Embryologist clinical,1.52,97.17,74.03,WALKING UPHILL,174.06,SAINT LOUIS UNIVERSITY
John Williams,577-07-3669,Komi,Patent attorney,1.6,92.72,29.55,ONLY STRENUOUS EXERCISE,208.31,SAINT LOUIS UNIVERSITY
Stephanie Brown,813-24-6228,Interlingue,Energy engineer,1.73,95.56,98.88,ONLY STRENUOUS EXERCISE,217.25,ST.LUKE'S
Laura Davis,714-67-4059,Latvian,Buyer industrial,1.77,89.65,88.02,WHEN HURRYING,290.27,ST.MARY'S
Karla Irwin,756-62-1909,Welsh,Emergency planning/management officer,1.74,86.41,95.7,WALKING UPHILL,84.13,BJC
Reginald Hall,738-17-1862,Catalan,Medical physicist,1.79,106.94,63.06,STOPS AFTER A FEW MINUTES,82.96,BJC WEST COUNTY
Gary Johnson,120-59-2511,Japanese,Surveyor land/geomatics,1.65,95.06,35.12,UNABLE TO LEAVE HOME,85.04,MISSOURI BAPTIST
Roy Miller,123-62-6822,Latvian,Health and safety adviser,1.69,111.82,29.32,WALKING UPHILL,27.65,ST.LUKE'S
Ronald Buck,090-82-6184,Basque,Chartered legal executive (England and Wales),1.77,80.47,44.03,STOPS AFTER A FEW MINUTES,281.51,SAINT LOUIS UNIVERSITY
Paul Davis,085-92-0225,Akan,Leisure centre manager,1.68,83.87,25.71,SLOWER THAN PEERS,302.92,ST.LUKE'S
Ricky Suarez,265-21-2404,Malayalam,Bonds trader,1.62,94.55,36.51,STOPS WHEN WALKING AT PACE,307.0,SAINT LOUIS UNIVERSITY
Jennifer Ferguson,086-97-7717,Amharic,Recycling officer,1.69,107.34,34.85,UNABLE TO LEAVE HOME,231.35,BJC WEST COUNTY
Melissa Lucas,105-97-7628,Sango,Clinical cytogeneticist,1.56,109.05,72.66,STOPS AFTER A FEW MINUTES,352.57,ST.LUKE'S
Jonathan Davis,182-36-2709,Icelandic,Public relations account executive,1.56,109.75,66.06,WALKING UPHILL,40.05,ST.MARY'S
Dawn Bell,776-05-0475,Avestan,Therapeutic radiographer,1.63,92.51,77.31,BREATHLESS WHEN DRESSING,340.96,BJC
Michael Martin,598-72-4258,Vietnamese,Architect,1.74,88.54,60.01,ONLY STRENUOUS EXERCISE,338.25,BJC WEST COUNTY
Ashley Nixon,042-02-6310,Komi,Designer blown glass/stained glass,1.57,92.47,54.1,BREATHLESS WHEN DRESSING,214.08,SAINT LOUIS UNIVERSITY
Joseph Taylor,562-77-2617,Abkhazian,Barrister,1.59,99.07,74.53,UNABLE TO LEAVE HOME,270.36,SAINT LOUIS UNIVERSITY
Pedro West,301-39-6384,Norwegian,English as a second language teacher,1.77,94.3,95.67,UNABLE TO LEAVE HOME,38.65,BJC
Jennifer Moreno,675-19-2926,Tonga,Designer fashion/clothing,1.6,92.63,62.35,ONLY STRENUOUS EXERCISE,264.86,ST.MARY'S
Alexandra Greene,757-87-3460,Tigrinya,General practice doctor,1.77,109.44,58.89,WALKING UPHILL,68.64,ST.LUKE'S
Vanessa Luna,489-43-4832,Bengali,Data processing manager,1.56,85.55,89.32,STOPS WHEN WALKING AT PACE,289.09,ST.MARY'S
William Hall,395-28-4364,Tatar,Warehouse manager,1.67,112.05,30.75,STOPS AFTER 100 YARDS,315.52,BJC
Lisa Warren,734-72-9237,Herero,Chartered certified accountant,1.77,92.55,31.73,BREATHLESS WHEN DRESSING,47.04,MISSOURI BAPTIST
Jason Anderson,768-11-2650,Kazakh,Housing manager/officer,1.59,92.35,26.1,ONLY STRENUOUS EXERCISE,165.8,SAINT LOUIS UNIVERSITY
Arthur Callahan,561-51-7033,Esperanto,Veterinary surgeon,1.53,81.93,71.02,BREATHLESS WHEN DRESSING,86.48,BJC
Kenneth Thomas,040-91-5262,Hebrew,Race relations officer,1.61,102.38,68.28,STOPS AFTER 100 YARDS,251.72,MISSOURI BAPTIST
Matthew Peterson,024-55-0654,Amharic,Wellsite geologist,1.5,79.16,35.76,STOPS AFTER A FEW MINUTES,97.7,ST.MARY'S
Monica Brennan,499-32-2108,Divehi,Scientist clinical (histocompatibility and immunogenetics),1.77,108.19,66.52,STOPS AFTER A FEW MINUTES,196.98,BJC
Caitlin Dean,807-26-6356,Indonesian,Plant breeder/geneticist,1.63,80.06,79.92,BREATHLESS WHEN DRESSING,370.64,ST.LUKE'S
Craig Wells,238-61-7680,Hebrew,Ship broker,1.61,103.84,76.11,BREATHLESS WHEN DRESSING,14.47,MISSOURI BAPTIST
Gary Richard,606-31-1283,Inupiaq,Minerals surveyor,1.6,105.22,85.8,UNABLE TO LEAVE HOME,357.39,BJC
Melissa Smith,020-53-5890,Hebrew,Manufacturing engineer,1.58,78.57,67.18,STOPS WHEN WALKING AT PACE,393.51,MISSOURI BAPTIST
William Green,092-20-0780,Pushto,Producer television/film/video,1.54,81.33,75.4,BREATHLESS WHEN DRESSING,105.77,SAINT LOUIS UNIVERSITY
Jacob Blackwell,463-54-3240,Kongo,Early years teacher,1.65,96.86,91.31,ONLY STRENUOUS EXERCISE,89.63,MISSOURI BAPTIST
Hector Lee,057-09-3686,Sundanese,Clinical biochemist,1.67,95.19,43.35,WALKING UPHILL,183.53,ST.MARY'S
Natasha Adkins,308-49-2014,Lao,Forest/woodland manager,1.55,78.5,59.39,BREATHLESS WHEN DRESSING,106.99,SAINT LOUIS UNIVERSITY
James Dixon,151-81-9161,Ido,Plant breeder/geneticist,1.7,93.06,29.84,WHEN HURRYING,92.95,SAINT LOUIS UNIVERSITY
Collin Garcia,732-65-2024,Basque,Furniture conservator/restorer,1.74,93.92,29.91,UNABLE TO LEAVE HOME,38.58,BJC WEST COUNTY
Christopher Chavez,890-72-9485,Esperanto,Trade union research officer,1.75,116.85,88.38,STOPS AFTER A FEW MINUTES,20.31,BJC
Kara Walker,565-98-3970,Venda,Archivist,1.58,109.66,37.29,WALKING UPHILL,84.84,BJC
Jessica Hernandez,346-56-2053,English,Field seismologist,1.68,100.02,36.13,WALKING UPHILL,353.44,SAINT LOUIS UNIVERSITY
Kathy Parks,408-79-7287,Maori,Designer television/film set,1.74,98.06,69.08,UNABLE TO LEAVE HOME,31.83,SAINT LOUIS UNIVERSITY
Sarah Ingram,418-38-4081,Malagasy,Careers information officer,1.71,115.21,52.4,WHEN HURRYING,46.16,BJC
Kevin Clark,350-29-4445,Welsh,Community education officer,1.68,86.59,91.33,WHEN HURRYING,177.56,BJC
Jill Arias,461-61-9269,Arabic,Curator,1.59,92.59,39.2,ONLY STRENUOUS EXERCISE,116.67,BJC
Christine Bowen,617-65-0193,Abkhazian,Engineer materials,1.77,95.48,79.4,STOPS WHEN WALKING AT PACE,344.69,SAINT LOUIS UNIVERSITY
Mark Tate,587-32-7693,Irish,Accountant chartered,1.7,99.55,69.08,STOPS AFTER 100 YARDS,198.55,MISSOURI BAPTIST
Megan Palmer,044-06-5287,Nauru,Museum/gallery exhibitions officer,1.79,111.24,55.26,BREATHLESS WHEN DRESSING,48.96,SAINT LOUIS UNIVERSITY
Laura Miller,205-70-1328,Slovenian,Investment banker corporate,1.52,88.02,25.22,BREATHLESS WHEN DRESSING,203.49,MISSOURI BAPTIST
Jamie Pennington,309-89-5320,Marathi,Health and safety inspector,1.56,88.21,48.97,WALKING UPHILL,115.92,BJC WEST COUNTY
Natalie Herrera,449-95-6355,Cornish,Telecommunications researcher,1.77,106.11,26.93,UNABLE TO LEAVE HOME,209.56,BJC WEST COUNTY
Nicole Anderson,595-15-9955,Bambara,Photographer,1.63,95.73,75.49,WALKING UPHILL,72.12,BJC
Sarah Brown,084-88-6091,Romanian,TEFL teacher,1.7,90.78,61.6,WHEN HURRYING,71.88,MISSOURI BAPTIST
John Walter,098-54-3346,Bulgarian,Counsellor,1.53,78.86,28.91,SLOWER THAN PEERS,212.73,BJC WEST COUNTY
Mario Padilla,171-07-1352,Igbo,Ecologist,1.66,80.78,79.08,STOPS WHEN WALKING AT PACE,351.84,MISSOURI BAPTIST
Brent Bates,112-54-2106,Bulgarian,Waste management officer,1.59,79.54,77.93,UNABLE TO LEAVE HOME,360.27,BJC WEST COUNTY
John Lewis,840-97-0418,Vietnamese,Investment banker corporate,1.61,114.09,41.96,STOPS AFTER 100 YARDS,89.5,SAINT LOUIS UNIVERSITY
Christopher Mendoza,175-74-7579,Korean,Accountant chartered management,1.7,94.66,57.7,ONLY STRENUOUS EXERCISE,199.55,MISSOURI BAPTIST
Christopher Henson,342-98-0223,Chinese,Ergonomist,1.68,102.41,74.42,ONLY STRENUOUS EXERCISE,300.08,BJC WEST COUNTY
Luis Harris,163-97-9002,Kinyarwanda,Financial trader,1.59,90.98,37.35,ONLY STRENUOUS EXERCISE,140.56,BJC
Jerry Patterson,169-70-4894,Abkhazian,Pharmacist community,1.75,108.93,86.98,WHEN HURRYING,77.21,MISSOURI BAPTIST
Danielle Walker,509-58-9480,Bosnian,Set designer,1.68,93.51,46.28,STOPS AFTER 100 YARDS,334.99,ST.LUKE'S
Jesse Harris,574-80-1070,Nauru,Television floor manager,1.57,109.67,42.82,SLOWER THAN PEERS,14.08,BJC
Lisa Rogers,073-24-7686,Bosnian,General practice doctor,1.6,94.05,99.01,STOPS AFTER A FEW MINUTES,280.13,SAINT LOUIS UNIVERSITY
Carly Williams,147-52-2520,Corsican,Teacher early years/pre,1.58,80.11,41.76,WHEN HURRYING,371.11,ST.MARY'S
Danielle Stewart,170-44-5147,Uzbek,Engineer manufacturing systems,1.65,104.2,63.16,BREATHLESS WHEN DRESSING,65.9,SAINT LOUIS UNIVERSITY
Janet Henderson,739-58-0952,Chichewa,Technical brewer,1.72,81.3,50.43,BREATHLESS WHEN DRESSING,36.38,MISSOURI BAPTIST
Jennifer Castillo,487-98-7829,Malayalam,Radiation protection practitioner,1.75,95.08,82.68,STOPS WHEN WALKING AT PACE,114.97,MISSOURI BAPTIST
Nicholas Hatfield,882-94-1652,Bihari languages,Secondary school teacher,1.72,84.1,38.26,STOPS AFTER 100 YARDS,285.99,SAINT LOUIS UNIVERSITY
Mr. Scott Anderson,459-12-9675,Turkmen,Financial controller,1.57,114.03,76.39,STOPS AFTER A FEW MINUTES,343.13,BJC WEST COUNTY
Lisa Reynolds,339-74-5140,Manx,Horticultural therapist,1.57,117.84,28.03,WALKING UPHILL,327.2,BJC WEST COUNTY
Francisco Acosta,260-15-2283,Catalan,Medical illustrator,1.68,98.26,67.59,BREATHLESS WHEN DRESSING,107.0,SAINT LOUIS UNIVERSITY
Jennifer Robinson,063-73-4344,Pali,Insurance account manager,1.73,114.07,62.66,SLOWER THAN PEERS,338.92,ST.LUKE'S
Jeffery Le,474-17-7601,Gaelic,Museum/gallery exhibitions officer,1.55,113.55,28.47,STOPS AFTER 100 YARDS,395.7,SAINT LOUIS UNIVERSITY
Christina Watson,313-78-3502,Tatar,Engineer automotive,1.78,88.03,95.0,WHEN HURRYING,258.6,SAINT LOUIS UNIVERSITY
Shawn Mcdowell,608-51-9151,Albanian,Investment banker corporate,1.75,98.1,46.12,WHEN HURRYING,238.93,BJC WEST COUNTY
Maria Garcia,003-18-7698,Swahili,Trading standards officer,1.57,89.84,37.61,STOPS AFTER 100 YARDS,392.54,SAINT LOUIS UNIVERSITY
Michael Santiago,483-96-9390,Sango,Occupational psychologist,1.55,105.9,45.47,UNABLE TO LEAVE HOME,284.34,BJC
Eric Solis,250-47-8374,Ndonga,Immigration officer,1.64,89.09,30.24,WALKING UPHILL,109.82,ST.LUKE'S
John Harper,441-61-6971,Tigrinya,Local government officer,1.78,107.89,64.01,UNABLE TO LEAVE HOME,174.64,MISSOURI BAPTIST
Paula Pollard,880-17-3028,Maori,Chief Strategy Officer,1.67,108.06,75.04,UNABLE TO LEAVE HOME,356.5,SAINT LOUIS UNIVERSITY
Calvin Newton,115-43-2172,Arabic,Economist,1.76,117.69,56.43,WALKING UPHILL,139.7,MISSOURI BAPTIST
Michelle Simpson,747-16-8792,Pali,Barrister's clerk,1.66,78.13,45.31,UNABLE TO LEAVE HOME,344.24,ST.MARY'S
Chad Duffy,049-15-2717,Romansh,Advertising account executive,1.67,82.58,28.49,ONLY STRENUOUS EXERCISE,228.75,MISSOURI BAPTIST
Tamara Lozano,273-28-3028,Latin,Maintenance engineer,1.51,101.26,45.61,STOPS AFTER A FEW MINUTES,52.08,MISSOURI BAPTIST
Robert Alvarado,591-98-5367,Slovak,Chief Executive Officer,1.53,104.44,85.73,SLOWER THAN PEERS,389.05,BJC WEST COUNTY
Brandon Mills,467-18-0772,Portuguese,Nurse mental health,1.79,106.52,39.37,STOPS WHEN WALKING AT PACE,199.85,MISSOURI BAPTIST
Elizabeth Thomas,373-66-6939,Igbo,Arboriculturist,1.68,96.76,92.56,WHEN HURRYING,349.58,BJC
Pamela Mendez,725-80-2920,Finnish,Paramedic,1.7,93.15,94.33,STOPS WHEN WALKING AT PACE,250.9,BJC
Casey Miller,192-34-0026,Kirghiz,Librarian academic,1.59,106.05,47.23,STOPS WHEN WALKING AT PACE,262.57,BJC WEST COUNTY
Ashley Hood,819-98-5260,Esperanto,Hospital pharmacist,1.79,97.64,59.38,UNABLE TO LEAVE HOME,381.88,MISSOURI BAPTIST
Kathy Reid,783-21-3865,Malagasy,Mudlogger,1.6,78.34,60.75,WALKING UPHILL,316.01,ST.LUKE'S
Angela Parks,810-95-3044,Turkmen,Designer textile,1.71,105.92,60.67,ONLY STRENUOUS EXERCISE,39.5,BJC
Carrie Black,617-58-5407,Avaric,Heritage manager,1.58,104.14,68.23,SLOWER THAN PEERS,263.99,MISSOURI BAPTIST
Lori Valenzuela,377-70-1617,Tswana,Engineer land,1.7,109.08,42.89,SLOWER THAN PEERS,332.87,BJC
Melanie Hernandez,179-23-8311,Kongo,Accountant chartered management,1.55,97.03,38.74,ONLY STRENUOUS EXERCISE,238.79,MISSOURI BAPTIST
Sean French,034-09-6875,Slovak,Theatre stage manager,1.72,101.25,49.95,STOPS AFTER A FEW MINUTES,228.88,BJC
David Lewis,053-45-0651,South Ndebele,Press photographer,1.62,103.7,32.19,SLOWER THAN PEERS,180.06,ST.LUKE'S
John Williams,607-06-6205,Quechua,Nurse children's,1.69,107.81,48.32,ONLY STRENUOUS EXERCISE,331.0,BJC WEST COUNTY
Sean Hall,117-89-9406,Japanese,Editor magazine features,1.6,78.43,96.54,ONLY STRENUOUS EXERCISE,385.13,MISSOURI BAPTIST
Zachary Fernandez,103-17-6134,South Ndebele,Advice worker,1.57,80.74,37.73,STOPS AFTER 100 YARDS,197.59,ST.LUKE'S
Cesar Olson,860-18-4210,Bambara,Ceramics designer,1.63,81.57,82.66,UNABLE TO LEAVE HOME,252.39,BJC WEST COUNTY
Teresa Peterson,751-39-9868,Corsican,Patent examiner,1.78,86.17,67.04,STOPS AFTER 100 YARDS,243.22,BJC WEST COUNTY
Samuel Ramirez,493-77-7567,Latin,Conservation officer historic buildings,1.57,95.04,82.0,BREATHLESS WHEN DRESSING,235.31,ST.LUKE'S
Alyssa Park,700-89-2169,Aragonese,Research officer political party,1.55,86.28,71.16,BREATHLESS WHEN DRESSING,196.76,ST.LUKE'S
Daniel Golden,895-56-8768,Shona,Soil scientist,1.54,91.01,87.35,STOPS WHEN WALKING AT PACE,47.24,BJC WEST COUNTY
Ruth Hayes,585-73-4650,Guarani,Hotel manager,1.77,86.78,86.49,WHEN HURRYING,85.85,BJC WEST COUNTY
Tonya Freeman,218-01-7273,Tsonga,Holiday representative,1.67,87.16,71.24,ONLY STRENUOUS EXERCISE,109.44,ST.LUKE'S
Brittany Chavez,174-94-3691,Northern Sami,Arts administrator,1.66,100.59,61.59,SLOWER THAN PEERS,275.17,ST.MARY'S
Kelsey Roth,352-14-5802,Komi,Education officer community,1.69,84.77,58.59,SLOWER THAN PEERS,161.99,SAINT LOUIS UNIVERSITY
David James,656-21-8180,Aragonese,Doctor hospital,1.77,103.43,37.8,STOPS AFTER 100 YARDS,353.99,MISSOURI BAPTIST
Michael Wallace,172-43-6833,Akan,Surveyor land/geomatics,1.73,105.27,49.93,SLOWER THAN PEERS,214.59,MISSOURI BAPTIST
Stephanie Sexton,013-20-2439,Kalaallisut,Surveyor land/geomatics,1.73,82.17,56.46,SLOWER THAN PEERS,233.31,ST.LUKE'S
Hunter Cook,540-97-1952,Hebrew,International aid/development worker,1.71,99.85,94.96,WALKING UPHILL,117.17,MISSOURI BAPTIST
Stacy Pearson,210-56-3428,South Ndebele,Designer blown glass/stained glass,1.75,87.13,30.2,UNABLE TO LEAVE HOME,225.81,SAINT LOUIS UNIVERSITY
Danielle Murray,692-34-5475,Armenian,Librarian academic,1.71,98.58,45.67,WALKING UPHILL,136.61,BJC
Alan Ali,284-90-9843,Armenian,Musician,1.73,84.77,76.18,WALKING UPHILL,222.93,MISSOURI BAPTIST
Theodore Davis,422-58-4904,Komi,Surveyor insurance,1.51,102.01,50.88,WALKING UPHILL,305.68,ST.MARY'S
Nathan Johnson,317-72-0411,Czech,Publishing copy,1.78,109.86,46.86,SLOWER THAN PEERS,132.65,SAINT LOUIS UNIVERSITY
Heather Parrish,813-25-1648,Chechen,Camera operator,1.53,101.63,89.17,STOPS AFTER 100 YARDS,164.59,SAINT LOUIS UNIVERSITY
Robert Edwards,075-05-5690,Basque,Sports administrator,1.75,83.34,89.57,WHEN HURRYING,331.09,ST.MARY'S
Steve Howard,727-43-6607,Latvian,Ship broker,1.75,84.96,72.41,STOPS WHEN WALKING AT PACE,245.9,ST.MARY'S
Todd Clark,015-54-9938,Yiddish,Sales professional IT,1.75,114.77,50.28,WALKING UPHILL,67.52,SAINT LOUIS UNIVERSITY
Justin Douglas,727-18-6739,Tibetan,Film/video editor,1.65,78.87,86.54,STOPS AFTER 100 YARDS,23.63,BJC WEST COUNTY
Caroline Sawyer,487-81-3096,Inuktitut,Sport and exercise psychologist,1.69,91.84,84.47,BREATHLESS WHEN DRESSING,78.21,SAINT LOUIS UNIVERSITY
David Taylor,319-78-8473,Sango,Medical technical officer,1.67,106.92,63.52,SLOWER THAN PEERS,368.81,BJC
Sarah Kelly,849-10-6786,Yiddish,Ergonomist,1.5,84.22,94.34,STOPS AFTER A FEW MINUTES,213.57,BJC WEST COUNTY
Thomas Torres,125-97-2554,Ndonga,Quality manager,1.69,113.72,87.21,STOPS AFTER A FEW MINUTES,299.47,MISSOURI BAPTIST
Patricia Keller,347-21-9035,Interlingue,Town planner,1.78,82.51,70.13,UNABLE TO LEAVE HOME,390.13,BJC
Erica Brown,832-57-0249,Sundanese,Dramatherapist,1.74,102.85,89.18,WHEN HURRYING,92.82,BJC
Katherine Bailey,824-86-5827,Akan,Administrator sports,1.63,87.25,66.3,ONLY STRENUOUS EXERCISE,383.49,MISSOURI BAPTIST
Jorge Thomas,718-12-9959,Indonesian,IT trainer,1.59,109.74,43.83,ONLY STRENUOUS EXERCISE,204.02,MISSOURI BAPTIST
Ashley Walker,729-87-2004,Irish,Water engineer,1.79,90.3,83.06,STOPS AFTER 100 YARDS,66.67,ST.MARY'S
Donna Lester,026-88-7407,Ewe,Health service manager,1.79,98.76,33.27,SLOWER THAN PEERS,398.16,BJC WEST COUNTY
Robert Li,491-23-6463,Assamese,Insurance risk surveyor,1.7,111.48,41.14,UNABLE TO LEAVE HOME,291.44,BJC WEST COUNTY
Alan Cunningham,209-08-2421,Kirghiz,Bookseller,1.74,96.99,86.05,WHEN HURRYING,43.0,MISSOURI BAPTIST
